umur,jenis_kelamin,indikator,L,M,S
0,Laki-Laki,TB/U,1,49.9,0.0379
0,Perempuan,TB/U,1,49.1,0.0379
1,Laki-Laki,TB/U,1,54.7,0.0376
1,Perempuan,TB/U,1,53.7,0.0375
2,Laki-Laki,TB/U,1,58.4,0.0374
2,Perempuan,TB/U,1,57.1,0.0373
3,Laki-Laki,TB/U,1,61.1,0.0374
3,Perempuan,TB/U,1,59.8,0.0372
4,Laki-Laki,TB/U,1,63.9,0.0373
4,Perempuan,TB/U,1,62.5,0.0372
5,Laki-Laki,TB/U,1,65.7,0.0372
5,Perempuan,TB/U,1,64.0,0.0371
6,Laki-Laki,TB/U,1,67.6,0.0372
6,Perempuan,TB/U,1,65.7,0.0371
12,Laki-Laki,TB/U,1,75.7,0.0365
12,Perempuan,TB/U,1,74.0,0.0367
0,Laki-Laki,BB/U,-0.3521,3.35,0.146
0,Perempuan,BB/U,-0.3833,3.23,0.142
1,Laki-Laki,BB/U,-0.035,4.5,0.13
1,Perempuan,BB/U,-0.112,4.2,0.128
2,Laki-Laki,BB/U,-0.035,5.6,0.125
2,Perempuan,BB/U,-0.112,5.1,0.122
3,Laki-Laki,BB/U,-0.035,6.2,0.12
3,Perempuan,BB/U,-0.112,5.7,0.118
4,Laki-Laki,BB/U,-0.035,6.9,0.115
4,Perempuan,BB/U,-0.112,6.3,0.112
5,Laki-Laki,BB/U,-0.035,7.4,0.11
5,Perempuan,BB/U,-0.112,6.8,0.11
6,Laki-Laki,BB/U,-0.035,7.9,0.105
6,Perempuan,BB/U,-0.112,7.3,0.101
12,Laki-Laki,BB/U,-0.035,9.6,0.095
12,Perempuan,BB/U,-0.112,8.9,0.092
0,Laki-Laki,IMT/U,-0.3521,13.3,0.09
0,Perempuan,IMT/U,-0.3833,13.1,0.091
1,Laki-Laki,IMT/U,-0.3521,14.0,0.088
1,Perempuan,IMT/U,-0.3833,13.8,0.089
2,Laki-Laki,IMT/U,-0.3521,14.5,0.087
2,Perempuan,IMT/U,-0.3833,14.3,0.088
3,Laki-Laki,IMT/U,-0.3521,15.0,0.085
3,Perempuan,IMT/U,-0.3833,14.8,0.086
4,Laki-Laki,IMT/U,-0.3521,15.3,0.084
4,Perempuan,IMT/U,-0.3833,15.1,0.085
5,Laki-Laki,IMT/U,-0.3521,15.6,0.083
5,Perempuan,IMT/U,-0.3833,15.4,0.084
6,Laki-Laki,IMT/U,-0.3521,16.0,0.082
6,Perempuan,IMT/U,-0.3833,15.7,0.082
12,Laki-Laki,IMT/U,-0.3521,16.8,0.081
12,Perempuan,IMT/U,-0.3833,16.5,0.081
65,Laki-Laki,BB/TB,-0.3521,7.4,0.0822
65,Perempuan,BB/TB,-0.3833,7.1,0.0851
70,Laki-Laki,BB/TB,-0.3521,8.5,0.0822
70,Perempuan,BB/TB,-0.3833,8.0,0.0851
75,Laki-Laki,BB/TB,-0.3521,9.4,0.0822
75,Perempuan,BB/TB,-0.3833,9.0,0.0851
80,Laki-Laki,BB/TB,-0.3521,10.6,0.0822
80,Perempuan,BB/TB,-0.3833,10.2,0.0851
